Scopus-200-Analyze-Year

"Your query : (TITLE-ABS-KEY(bayesian) AND ( LIMIT-TO ( SUBJAREA,""AGRI"" ) ) )"


Number of results : 200

"YEAR",
"2024","538"
"2023","2129"
"2022","2256"
"2021","2281"
"2020","2130"
"2019","1969"
"2018","1918"
"2017","1936"
"2016","1871"
"2015","1780"
"2014","1734"
"2013","1583"
"2012","1531"
"2011","1400"
"2010","1302"
"2009","1044"
"2008","977"
"2007","831"
"2006","638"
"2005","564"
"2004","446"
"2003","331"
"2002","201"
"2001","157"
"2000","94"
"1999","106"
"1998","73"
"1997","69"
"1996","56"
"1995","43"
"1994","35"
"1993","27"
"1992","30"
"1991","33"
"1990","15"
"1989","19"
"1988","15"
"1987","15"
"1986","11"
"1985","12"
"1984","9"
"1983","7"
"1982","9"
"1981","13"
"1980","14"
"1979","13"
"1978","10"
"1977","11"
"1976","13"
"1975","9"
"1974","13"
"1973","10"
"1972","8"
"1971","9"
"1970","3"
"1969","2"
"1968","5"
"1967","2"
"1966","3"
