Scopus-200-Analyze-Year

"Your query : (TITLE-ABS-KEY(bayesian) AND ( LIMIT-TO ( SUBJAREA,""BUSI"" ) ) )"


Number of results : 200

"YEAR",
"2024","198"
"2023","637"
"2022","532"
"2021","508"
"2020","503"
"2019","481"
"2018","349"
"2017","346"
"2016","346"
"2015","292"
"2014","285"
"2013","224"
"2012","218"
"2011","263"
"2010","231"
"2009","217"
"2008","158"
"2007","140"
"2006","110"
"2005","87"
"2004","80"
"2003","79"
"2002","55"
"2001","47"
"2000","60"
"1999","47"
"1998","28"
"1997","48"
"1996","47"
"1995","37"
"1994","24"
"1993","35"
"1992","27"
"1991","17"
"1990","23"
"1989","18"
"1988","12"
"1987","14"
"1986","13"
"1985","16"
"1984","4"
"1983","5"
"1982","12"
"1981","8"
"1980","5"
"1979","12"
"1978","4"
"1977","9"
"1976","10"
"1975","13"
"1974","8"
"1973","11"
"1972","7"
"1971","2"
"1970","3"
"1967","1"
"1962","1"
