Scopus-10-Analyze-Year

"Your query : (TITLE-ABS-KEY(bayesian) AND ( LIMIT-TO ( SUBJAREA,""COMP"" ) ) )"


Number of results : 10

"YEAR",
"2024","1350"
"2023","6347"
"2022","6155"
"2021","5934"
"2020","5474"
"2019","5238"
"2018","4633"
"2017","4499"
"2016","4259"
"2015","3784"
"2014","3699"
"2013","3553"
"2012","3553"
"2011","3313"
"2010","3339"
"2009","3092"
"2008","2849"
"2007","2595"
"2006","2135"
"2005","1602"
"2004","1164"
"2003","1208"
"2002","1003"
"2001","797"
"2000","727"
"1999","646"
"1998","623"
"1997","530"
"1996","418"
"1995","342"
"1994","298"
"1993","249"
"1992","202"
"1991","161"
"1990","150"
"1989","94"
"1988","93"
"1987","54"
"1986","52"
"1985","45"
"1984","29"
"1983","19"
"1982","19"
"1981","22"
"1980","17"
"1979","21"
"1978","18"
"1977","20"
"1976","17"
"1975","14"
"1974","14"
"1973","5"
"1972","10"
"1971","7"
"1970","6"
"1969","5"
"1968","4"
"1966","8"
"1965","5"
"1964","4"
"1962","1"
