Scopus-200-Analyze-Year

"Your query : (TITLE-ABS-KEY(bayesian) AND ( LIMIT-TO ( SUBJAREA,""ECON"" ) ) )"


Number of results : 200

"YEAR",
"2024","249"
"2023","826"
"2022","758"
"2021","678"
"2020","640"
"2019","635"
"2018","488"
"2017","482"
"2016","491"
"2015","450"
"2014","404"
"2013","326"
"2012","346"
"2011","297"
"2010","293"
"2009","267"
"2008","261"
"2007","231"
"2006","180"
"2005","136"
"2004","145"
"2003","132"
"2002","100"
"2001","94"
"2000","98"
"1999","90"
"1998","77"
"1997","77"
"1996","77"
"1995","57"
"1994","64"
"1993","66"
"1992","52"
"1991","55"
"1990","26"
"1989","24"
"1988","28"
"1987","19"
"1986","19"
"1985","32"
"1984","14"
"1983","23"
"1982","17"
"1981","6"
"1980","13"
"1979","21"
"1978","4"
"1977","10"
"1976","8"
"1975","14"
"1974","7"
"1973","5"
"1971","3"
"1970","3"
"1969","3"
"1968","1"
"1967","1"
"1964","1"
