Scopus-200-Analyze-Year

"Your query : (TITLE-ABS-KEY(bayesian) AND ( LIMIT-TO ( SUBJAREA,""ENVI"" ) ) )"


Number of results : 200

"YEAR",
"2025","1"
"2024","683"
"2023","2302"
"2022","2287"
"2021","1997"
"2020","1633"
"2019","1517"
"2018","1287"
"2017","1111"
"2016","1043"
"2015","933"
"2014","882"
"2013","756"
"2012","731"
"2011","629"
"2010","564"
"2009","465"
"2008","390"
"2007","374"
"2006","257"
"2005","196"
"2004","145"
"2003","148"
"2002","105"
"2001","97"
"2000","81"
"1999","92"
"1998","51"
"1997","68"
"1996","58"
"1995","28"
"1994","33"
"1993","32"
"1992","41"
"1991","17"
"1990","23"
"1989","20"
"1988","18"
"1987","18"
"1986","20"
"1985","12"
"1984","15"
"1983","21"
"1982","10"
"1981","15"
"1980","16"
"1979","15"
"1978","6"
"1977","8"
"1976","7"
"1975","8"
"1974","2"
"1973","3"
"1972","3"
"1971","7"
"1970","8"
"1967","1"
"1964","1"
"1963","1"
