Scopus-200-Analyze-Year

"Your query : (TITLE-ABS-KEY(bayesian) AND ( LIMIT-TO ( SUBJAREA,""MEDI"" ) ) )"


Number of results : 200

"YEAR",
"2025","1"
"2024","1024"
"2023","3828"
"2022","3832"
"2021","3563"
"2020","2766"
"2019","2249"
"2018","1951"
"2017","1765"
"2016","1590"
"2015","1437"
"2014","1363"
"2013","1210"
"2012","1035"
"2011","1002"
"2010","831"
"2009","817"
"2008","691"
"2007","626"
"2006","528"
"2005","433"
"2004","361"
"2003","303"
"2002","281"
"2001","252"
"2000","205"
"1999","209"
"1998","165"
"1997","185"
"1996","152"
"1995","145"
"1994","138"
"1993","101"
"1992","81"
"1991","97"
"1990","66"
"1989","87"
"1988","62"
"1987","52"
"1986","59"
"1985","40"
"1984","33"
"1983","32"
"1982","32"
"1981","31"
"1980","16"
"1979","14"
"1978","16"
"1977","13"
"1976","12"
"1975","10"
"1974","8"
"1973","12"
"1972","12"
"1971","6"
"1970","6"
"1969","3"
"1968","6"
"1967","2"
"1966","3"
"1965","2"
"1964","1"
"1963","2"
