Scopus-200-Analyze-Year

"Your query : (TITLE-ABS-KEY(bayesian) AND ( LIMIT-TO ( SUBJAREA,""NEUR"" ) ) )"


Number of results : 200

"YEAR",
"2024","173"
"2023","736"
"2022","834"
"2021","779"
"2020","651"
"2019","568"
"2018","566"
"2017","510"
"2016","479"
"2015","417"
"2014","383"
"2013","332"
"2012","287"
"2011","308"
"2010","193"
"2009","233"
"2008","169"
"2007","135"
"2006","100"
"2005","74"
"2004","54"
"2003","78"
"2002","57"
"2001","54"
"2000","37"
"1999","30"
"1998","24"
"1997","21"
"1996","16"
"1995","12"
"1994","6"
"1993","5"
"1992","1"
"1991","5"
"1990","5"
"1989","3"
"1988","8"
"1987","3"
"1986","4"
"1985","3"
"1984","3"
"1983","4"
"1982","1"
"1979","3"
"1978","1"
"1975","3"
"1971","3"
"1970","1"
"1969","1"
"1966","2"
"1962","1"
