Scopus-200-Analyze-Year

"Your query : (TITLE-ABS-KEY(bayesian) AND ( LIMIT-TO ( SUBJAREA,""PHYS"" ) ) )"


Number of results : 200

"YEAR",
"2024","565"
"2023","2382"
"2022","2143"
"2021","2064"
"2020","1686"
"2019","1717"
"2018","1395"
"2017","1186"
"2016","1046"
"2015","851"
"2014","769"
"2013","736"
"2012","725"
"2011","534"
"2010","523"
"2009","508"
"2008","453"
"2007","423"
"2006","383"
"2005","336"
"2004","220"
"2003","191"
"2002","175"
"2001","212"
"2000","173"
"1999","209"
"1998","192"
"1997","144"
"1996","117"
"1995","117"
"1994","84"
"1993","103"
"1992","71"
"1991","45"
"1990","30"
"1989","34"
"1988","19"
"1987","22"
"1986","16"
"1985","17"
"1984","10"
"1983","6"
"1982","3"
"1981","2"
"1980","5"
"1979","5"
"1978","3"
"1977","1"
"1976","1"
"1975","2"
"1974","4"
"1973","3"
"1972","2"
"1969","1"
