Scopus-200-Analyze-Year

"Your query : (TITLE-ABS-KEY(bayesian) AND ( LIMIT-TO ( SUBJAREA,""PSYC"" ) ) )"


Number of results : 200

"YEAR",
"2024","194"
"2023","753"
"2022","725"
"2021","650"
"2020","531"
"2019","538"
"2018","441"
"2017","390"
"2016","337"
"2015","300"
"2014","221"
"2013","230"
"2012","235"
"2011","197"
"2010","132"
"2009","134"
"2008","81"
"2007","81"
"2006","67"
"2005","47"
"2004","42"
"2003","56"
"2002","38"
"2001","47"
"2000","27"
"1999","30"
"1998","32"
"1997","29"
"1996","21"
"1995","16"
"1994","15"
"1993","11"
"1992","13"
"1991","18"
"1990","16"
"1989","13"
"1988","13"
"1987","10"
"1986","14"
"1985","10"
"1984","9"
"1983","12"
"1982","8"
"1981","9"
"1980","8"
"1979","17"
"1978","10"
"1977","11"
"1976","5"
"1975","17"
"1974","7"
"1973","5"
"1972","6"
"1971","10"
"1970","8"
"1969","6"
"1968","4"
"1967","4"
"1966","6"
"1965","2"
"1964","1"
"1963","1"
"1962","1"
