Scopus-200-Analyze-Year

"Your query : (TITLE-ABS-KEY(bayesian) AND ( LIMIT-TO ( SUBJAREA,""SOCI"" ) ) )"


Number of results : 200

"YEAR",
"2024","420"
"2023","1526"
"2022","1455"
"2021","1347"
"2020","1347"
"2019","1194"
"2018","984"
"2017","824"
"2016","760"
"2015","706"
"2014","629"
"2013","603"
"2012","539"
"2011","487"
"2010","462"
"2009","408"
"2008","356"
"2007","331"
"2006","235"
"2005","165"
"2004","152"
"2003","148"
"2002","101"
"2001","97"
"2000","120"
"1999","88"
"1998","84"
"1997","68"
"1996","65"
"1995","53"
"1994","72"
"1993","43"
"1992","39"
"1991","34"
"1990","33"
"1989","21"
"1988","27"
"1987","26"
"1986","21"
"1985","13"
"1984","18"
"1983","18"
"1982","12"
"1981","10"
"1980","11"
"1979","18"
"1978","6"
"1977","11"
"1976","14"
"1975","20"
"1974","7"
"1973","6"
"1972","6"
"1971","8"
"1970","4"
"1969","5"
"1968","2"
"1967","1"
"1966","3"
"1965","2"
"1962","1"
