Scopus-200-Analyze-Year

"Your query : (TITLE-ABS-KEY(bayesian) AND ( LIMIT-TO ( SUBJAREA,""MATH"" ) ) )"


Number of results : 200

"YEAR",
"2024","1116"
"2023","4681"
"2022","4460"
"2021","3948"
"2020","3605"
"2019","3385"
"2018","3049"
"2017","3178"
"2016","2907"
"2015","2542"
"2014","2483"
"2013","2220"
"2012","2314"
"2011","2186"
"2010","1985"
"2009","1896"
"2008","1678"
"2007","1778"
"2006","1522"
"2005","1297"
"2004","961"
"2003","942"
"2002","730"
"2001","673"
"2000","607"
"1999","569"
"1998","551"
"1997","492"
"1996","365"
"1995","352"
"1994","321"
"1993","287"
"1992","240"
"1991","215"
"1990","167"
"1989","144"
"1988","138"
"1987","139"
"1986","123"
"1985","88"
"1984","92"
"1983","67"
"1982","69"
"1981","68"
"1980","82"
"1979","54"
"1978","55"
"1977","51"
"1976","50"
"1975","37"
"1974","42"
"1973","42"
"1972","32"
"1971","24"
"1970","16"
"1969","7"
"1968","16"
"1967","11"
"1966","15"
"1965","13"
"1964","6"
"1963","5"
"1962","1"
"1961","1"
"1960","1"
