Scopus-10-Analyze-Year

"Your query : (TITLE-ABS-KEY(bayesian))"


Number of results : 10

"YEAR",
"2025","2"
"2024","5773"
"2023","22442"
"2022","21769"
"2021","20440"
"2020","18210"
"2019","16735"
"2018","14939"
"2017","14074"
"2016","13336"
"2015","12132"
"2014","11737"
"2013","10961"
"2012","10512"
"2011","9395"
"2010","8883"
"2009","7907"
"2008","7100"
"2007","6384"
"2006","5597"
"2005","4633"
"2004","3596"
"2003","2929"
"2002","2395"
"2001","2070"
"2000","1768"
"1999","1652"
"1998","1507"
"1997","1390"
"1996","1188"
"1995","978"
"1994","928"
"1993","802"
"1992","670"
"1991","605"
"1990","519"
"1989","444"
"1988","419"
"1987","365"
"1986","344"
"1985","302"
"1984","274"
"1983","251"
"1982","207"
"1981","188"
"1980","192"
"1979","182"
"1978","141"
"1977","136"
"1976","139"
"1975","132"
"1974","112"
"1973","116"
"1972","93"
"1971","72"
"1970","73"
"1969","40"
"1968","47"
"1967","26"
"1966","36"
"1965","22"
"1964","11"
"1963","9"
"1962","4"
"1961","1"
"1960","1"
