Scopus-200-Analyze-Year

"Your query : (SRCTITLE(""journal of the american statistical association""))"


Number of results : 200

"YEAR",
"2024","90"
"2023","298"
"2022","226"
"2021","182"
"2020","165"
"2019","162"
"2018","149"
"2017","154"
"2016","162"
"2015","154"
"2014","136"
"2013","127"
"2012","140"
"2011","142"
"2010","149"
"2009","157"
"2008","166"
"2007","142"
"2006","150"
"2005","135"
"2004","118"
"2003","104"
"2002","121"
"2001","152"
"2000","183"
"1999","145"
"1998","152"
"1997","172"
"1996","185"
"1995","160"
"1994","177"
"1993","145"
"1992","158"
"1991","160"
"1990","152"
"1989","143"
"1988","162"
"1987","168"
"1986","149"
"1985","161"
"1984","126"
"1983","151"
"1982","146"
"1981","157"
"1980","169"
"1979","116"
"1978","153"
"1977","155"
"1976","175"
"1975","111"
"1974","172"
"1973","190"
"1972","176"
"1971","161"
"1970","137"
"1969","130"
"1968","110"
"1967","112"
"1966","90"
"1965","86"
"1964","84"
"1963","78"
"1962","58"
"1961","73"
"1960","46"
"1959","43"
"1958","63"
"1957","45"
"1956","41"
"1955","72"
"1954","51"
"1953","53"
"1952","44"
"1951","40"
"1950","44"
"1949","37"
"1948","35"
"1947","46"
"1946","42"
"1945","51"
"1944","54"
"1943","51"
"1942","60"
"1941","64"
"1940","26"
"1939","54"
"1938","57"
"1937","57"
"1936","63"
"1935","62"
"1934","51"
"1933","42"
"1932","47"
"1931","43"
"1930","48"
"1929","36"
"1928","44"
"1927","45"
"1926","48"
"1925","47"
"1924","41"
"1923","39"
"1922","52"
