Scopus-200-Analyze-Year

"Your query : ((SRCTITLE(""journal of the american statistical association"") AND TITLE-ABS-KEY(Bayesian)))"


Number of results : 200

"YEAR",
"2024","17"
"2023","50"
"2022","33"
"2021","26"
"2020","36"
"2019","37"
"2018","37"
"2017","34"
"2016","30"
"2015","25"
"2014","28"
"2013","31"
"2012","23"
"2011","25"
"2010","29"
"2009","37"
"2008","30"
"2007","20"
"2006","28"
"2005","26"
"2004","21"
"2003","28"
"2002","21"
"2001","42"
"2000","22"
"1999","18"
"1998","24"
"1997","27"
"1996","33"
"1995","30"
"1994","26"
"1993","11"
"1992","19"
"1991","16"
"1990","14"
"1989","11"
"1988","12"
"1987","12"
"1986","10"
"1985","7"
"1984","6"
"1983","9"
"1982","10"
"1981","7"
"1980","7"
"1979","8"
"1978","10"
"1977","11"
"1976","9"
"1975","5"
"1974","6"
"1973","13"
"1972","7"
"1971","5"
"1970","3"
"1969","2"
"1968","4"
"1967","4"
"1966","1"
"1965","10"
"1964","3"
"1963","4"
"1962","1"
