Scopus-200-Analyze-Year

"Your query : (SRCTITLE(""Journal Of The Royal Statistical Society Series A Statistics In Society""))"


Number of results : 200

"YEAR",
"2024","23"
"2023","53"
"2022","169"
"2021","91"
"2020","76"
"2019","68"
"2018","52"
"2017","57"
"2016","45"
"2015","48"
"2014","44"
"2013","47"
"2012","41"
"2011","53"
"2010","41"
"2009","42"
"2008","46"
"2007","51"
"2006","49"
"2005","38"
"2004","39"
"2003","31"
"2002","36"
"2001","32"
"2000","23"
"1999","23"
"1998","24"
"1997","23"
"1996","30"
"1995","15"
"1994","3"
"1993","4"
"1992","1"
"1991","1"
"1990","1"
"1989","1"
"1988","2"
