Scopus-200-Analyze-Year

"Your query : ((SRCTITLE(""Journal Of The Royal Statistical Society Series A Statistics In Society"") AND TITLE-ABS-KEY(bayesian)))"


Number of results : 200

"YEAR",
"2024","2"
"2023","9"
"2022","19"
"2021","11"
"2020","22"
"2019","16"
"2018","9"
"2017","11"
"2016","9"
"2015","13"
"2014","10"
"2013","5"
"2012","6"
"2011","4"
"2010","5"
"2009","8"
"2008","9"
"2007","6"
"2006","8"
"2005","2"
"2004","4"
"2003","2"
"2002","2"
"2001","3"
"2000","1"
"1999","2"
"1998","3"
"1997","2"
"1996","1"
"1995","1"
