Scopus-10-Analyze-Year

"Your query : (SRCTITLE(""Journal of Mathematical Psychology""))"


Number of results : 10

"YEAR",
"2024","5"
"2023","47"
"2022","33"
"2021","47"
"2020","74"
"2019","59"
"2018","42"
"2017","71"
"2016","74"
"2015","28"
"2014","39"
"2013","33"
"2012","39"
"2011","38"
"2010","48"
"2009","57"
"2008","33"
"2007","26"
"2006","47"
"2005","34"
"2004","32"
"2003","39"
"2002","35"
"2001","39"
"2000","25"
"1999","16"
"1998","20"
"1997","30"
"1996","20"
"1995","27"
"1994","22"
"1993","24"
"1992","27"
"1991","18"
"1990","21"
"1989","22"
"1988","21"
"1987","21"
"1986","20"
"1985","19"
"1984","20"
"1983","20"
"1982","25"
"1981","21"
"1980","31"
"1979","29"
"1978","32"
"1977","32"
"1976","32"
"1975","21"
"1974","27"
"1973","20"
"1972","28"
"1971","32"
"1970","32"
"1969","30"
"1968","24"
"1967","27"
"1966","23"
"1965","23"
"1964","20"
