Scopus-10-Analyze-Year

"Your query : ((SRCTITLE(""Journal of Mathematical Psychology"") AND TITLE-ABS-KEY(Bayesian)))"


Number of results : 10

"YEAR",
"2024","1"
"2023","5"
"2022","9"
"2021","9"
"2020","19"
"2019","15"
"2018","9"
"2017","13"
"2016","17"
"2015","3"
"2014","5"
"2013","8"
"2012","13"
"2011","13"
"2010","9"
"2009","8"
"2008","3"
"2006","7"
"2005","2"
"2004","1"
"2003","1"
"2001","3"
"2000","2"
"1998","3"
"1995","1"
"1989","1"
"1986","1"
"1984","1"
"1976","1"
"1965","1"
"1964","1"
