Scopus-10-Analyze-Year

"Your query : (SRCTITLE(psychometrika))"


Number of results : 10

"YEAR",
"2024","11"
"2023","71"
"2022","64"
"2021","54"
"2020","44"
"2019","51"
"2018","47"
"2017","55"
"2016","62"
"2015","60"
"2014","34"
"2013","46"
"2012","44"
"2011","35"
"2010","39"
"2009","41"
"2008","41"
"2007","33"
"2006","45"
"2005","46"
"2004","34"
"2003","32"
"2002","33"
"2001","32"
"2000","34"
"1999","25"
"1998","24"
"1997","28"
"1996","33"
"1995","34"
"1994","37"
"1993","38"
"1992","38"
"1991","43"
"1990","48"
"1989","49"
"1988","42"
"1987","41"
"1986","55"
"1985","40"
"1984","41"
"1983","52"
"1982","43"
"1981","42"
"1980","33"
"1979","48"
"1978","59"
"1977","43"
"1976","43"
"1975","44"
"1974","38"
"1973","44"
"1972","30"
"1971","30"
"1970","31"
"1969","30"
"1968","28"
"1967","33"
"1966","50"
"1965","40"
"1964","33"
"1963","35"
"1962","39"
"1961","36"
"1960","32"
"1959","34"
"1958","34"
"1957","37"
"1956","33"
"1955","27"
"1954","29"
"1953","30"
"1952","33"
"1951","29"
"1950","33"
"1949","22"
"1948","24"
"1947","20"
"1946","23"
"1945","21"
"1944","21"
"1943","22"
"1942","25"
"1941","38"
"1940","29"
"1939","24"
"1938","24"
"1937","28"
"1936","30"
