Scopus-10-Analyze-Year

"Your query : ((SRCTITLE(psychometrika) AND TITLE-ABS-KEY(bayesian)))"


Number of results : 10

"YEAR",
"2024","3"
"2023","11"
"2022","10"
"2021","7"
"2020","12"
"2019","11"
"2018","4"
"2017","12"
"2016","6"
"2015","12"
"2014","6"
"2013","3"
"2012","9"
"2011","4"
"2010","6"
"2009","6"
"2008","6"
"2007","4"
"2006","5"
"2005","2"
"2004","3"
"2003","9"
"2002","4"
"2001","4"
"2000","3"
"1999","2"
"1998","3"
"1997","1"
"1996","2"
"1995","2"
"1994","2"
"1993","1"
"1992","2"
"1991","1"
"1990","2"
"1989","3"
"1987","1"
"1986","3"
"1985","1"
"1984","1"
"1982","1"
"1981","2"
"1980","1"
"1979","2"
"1978","3"
"1975","2"
"1973","2"
"1971","2"
"1966","2"
