Scopus-200-Analyze-Year

"Your query : (SRCTITLE(""Statistical Methods In Medical Research""))"


Number of results : 200

"YEAR",
"2024","41"
"2023","148"
"2022","153"
"2021","167"
"2020","244"
"2019","251"
"2018","251"
"2017","180"
"2016","184"
"2015","58"
"2014","41"
"2013","43"
"2012","46"
"2011","46"
"2010","36"
"2009","39"
"2008","41"
"2007","30"
"2006","39"
"2005","35"
"2004","29"
"2003","29"
"2002","40"
"2001","27"
"2000","36"
"1999","22"
"1998","23"
"1997","22"
"1996","20"
"1995","23"
"1994","21"
"1993","15"
"1992","16"
