Scopus-200-Analyze-Year

"Your query : ((SRCTITLE(""Statistical Methods In Medical Research"") AND TITLE-ABS-KEY(bayesian)))"


Number of results : 200

"YEAR",
"2024","8"
"2023","31"
"2022","28"
"2021","34"
"2020","37"
"2019","51"
"2018","53"
"2017","35"
"2016","46"
"2015","10"
"2014","11"
"2013","9"
"2012","7"
"2011","9"
"2010","1"
"2009","4"
"2008","3"
"2007","2"
"2006","6"
"2005","4"
"2004","1"
"2003","2"
"2002","5"
"2001","3"
"2000","2"
"1999","2"
"1998","2"
"1996","3"
"1995","1"
"1994","3"
"1993","1"
