Scopus-200-Analyze-Year

"Your query : (SRCTITLE(""Statistical Science""))"


Number of results : 200

"YEAR",
"2023","47"
"2022","158"
"2021","525"
"2020","178"
"2019","176"
"2018","216"
"2017","167"
"2016","199"
"2015","167"
"2014","227"
"2013","107"
"2012","290"
"2011","198"
"2010","182"
"2009","125"
"2008","76"
"2007","59"
"2006","57"
"2005","35"
"2004","49"
"2003","43"
"2002","23"
"2001","41"
"2000","40"
"1999","47"
"1998","22"
"1997","46"
"1996","37"
"1995","34"
"1994","76"
"1993","76"
"1992","84"
"1991","84"
"1990","89"
"1989","85"
"1988","93"
"1987","106"
"1986","104"
