Scopus-200-Analyze-Year

"Your query : ((SRCTITLE(""Statistical Science"") AND TITLE-ABS-KEY(Bayesian)))"


Number of results : 200

"YEAR",
"2023","9"
"2022","12"
"2021","18"
"2020","12"
"2019","18"
"2018","14"
"2017","11"
"2016","15"
"2015","11"
"2014","25"
"2013","25"
"2012","20"
"2011","30"
"2010","15"
"2009","14"
"2008","8"
"2007","13"
"2006","3"
"2005","3"
"2004","14"
"2003","2"
"2002","2"
"2001","2"
"2000","4"
"1999","6"
"1998","6"
"1997","3"
"1996","3"
"1995","3"
"1994","1"
"1993","2"
"1992","2"
"1991","2"
"1990","3"
"1989","3"
"1988","2"
"1987","4"
"1986","3"
