Scopus-200-Analyze-Year

"Your query : (SRCTITLE(Statistics in Medicine))"


Number of results : 200

"YEAR",
"2024","112"
"2023","310"
"2022","350"
"2021","426"
"2020","310"
"2019","387"
"2018","322"
"2017","341"
"2016","389"
"2015","274"
"2014","397"
"2013","404"
"2012","362"
"2011","309"
"2010","309"
"2009","269"
"2008","454"
"2007","387"
"2006","319"
"2005","286"
"2004","268"
"2003","266"
"2002","280"
"2001","283"
"2000","254"
"1999","259"
"1998","209"
"1997","212"
"1996","218"
"1995","247"
"1994","228"
"1993","231"
"1992","198"
"1991","190"
"1990","190"
"1989","171"
"1988","130"
"1987","111"
"1986","71"
"1985","63"
"1984","61"
"1983","58"
"1982","43"
"1945","1"
