Scopus-200-Analyze-Year

"Your query : (TITLE-ABS-KEY(bayesian) AND ( LIMIT-TO ( EXACTSRCTITLE,""Statistics In Medicine"" ) ) )"


Number of results : 200

"YEAR",
"2024","29"
"2023","67"
"2022","81"
"2021","83"
"2020","48"
"2019","50"
"2018","54"
"2017","58"
"2016","64"
"2015","50"
"2014","58"
"2013","62"
"2012","55"
"2011","48"
"2010","50"
"2009","39"
"2008","62"
"2007","54"
"2006","52"
"2005","47"
"2004","28"
"2003","31"
"2002","24"
"2001","27"
"2000","28"
"1999","15"
"1998","15"
"1997","20"
"1996","12"
"1995","19"
"1994","17"
"1993","10"
"1992","10"
"1991","5"
"1990","6"
"1989","5"
"1988","4"
"1987","1"
"1986","4"
"1985","3"
"1983","1"
"1982","2"
